"","Survey_ID","State","Year","Duration","Waterbody_Unique_Name","WB_ID","Effort_Hours"
"1","AK_1045_2006_A","Alaska","2006","365","Admiralty Island streams and lakes (AK_Hoo)","AK_1045",""
"2","AK_1045_2009_A","Alaska","2009","365","Admiralty Island streams and lakes (AK_Hoo)","AK_1045",""
"3","AK_1045_2010_A","Alaska","2010","365","Admiralty Island streams and lakes (AK_Hoo)","AK_1045",""
"4","AK_1045_2011_A","Alaska","2011","365","Admiralty Island streams and lakes (AK_Hoo)","AK_1045",""
"5","AK_1045_2013_A","Alaska","2013","365","Admiralty Island streams and lakes (AK_Hoo)","AK_1045",""
"6","AK_1045_2016_A","Alaska","2016","366","Admiralty Island streams and lakes (AK_Hoo)","AK_1045",""
"7","AK_1045_2017_A","Alaska","2017","365","Admiralty Island streams and lakes (AK_Hoo)","AK_1045",""
"8","AK_1045_2018_A","Alaska","2018","365","Admiralty Island streams and lakes (AK_Hoo)","AK_1045",""
"9","AK_1310_1997_A","Alaska","1997","365","Afognak River (AK_Kod)","AK_1310",""
"10","AK_1374_2005_A","Alaska","2005","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"11","AK_1374_2006_A","Alaska","2006","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"12","AK_1374_2007_A","Alaska","2007","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"13","AK_1374_2008_A","Alaska","2008","366","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"14","AK_1374_2009_A","Alaska","2009","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"15","AK_1374_2010_A","Alaska","2010","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"16","AK_1374_2011_A","Alaska","2011","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"17","AK_1374_2012_A","Alaska","2012","366","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"18","AK_1374_2013_A","Alaska","2013","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"19","AK_1374_2014_A","Alaska","2014","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"20","AK_1374_2015_A","Alaska","2015","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"21","AK_1374_2016_A","Alaska","2016","366","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"22","AK_1374_2017_A","Alaska","2017","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"23","AK_1374_2018_A","Alaska","2018","365","Agulowak River (Wood River lakes system) (AK_Dil)","AK_1374",""
"24","AK_1378_2005_A","Alaska","2005","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"25","AK_1378_2006_A","Alaska","2006","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"26","AK_1378_2007_A","Alaska","2007","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"27","AK_1378_2008_A","Alaska","2008","366","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"28","AK_1378_2009_A","Alaska","2009","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"29","AK_1378_2010_A","Alaska","2010","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"30","AK_1378_2011_A","Alaska","2011","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"31","AK_1378_2012_A","Alaska","2012","366","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"32","AK_1378_2013_A","Alaska","2013","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"33","AK_1378_2014_A","Alaska","2014","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"34","AK_1378_2015_A","Alaska","2015","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"35","AK_1378_2016_A","Alaska","2016","366","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"36","AK_1378_2017_A","Alaska","2017","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"37","AK_1378_2018_A","Alaska","2018","365","Agulukpak River (Wood River lakes system) (AK_Dil)","AK_1378",""
"38","AK_1084_2014_A","Alaska","2014","365","Ahrnklin River (AK_Yak)","AK_1084",""
"39","AK_1077_2010_A","Alaska","2010","365","Akwe River (AK_Yak)","AK_1077",""
"40","AK_1077_2011_A","Alaska","2011","365","Akwe River (AK_Yak)","AK_1077",""
"41","AK_1077_2016_A","Alaska","2016","366","Akwe River (AK_Yak)","AK_1077",""
